,SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,ANO_INGRESSO,IDADE_INGRESSO,APROVACAO
0,0,4.0,1,2014,0,0,1,0,0,1,1,1,1,6.7,0,2016,1,1
1,0,0.0,6,2011,0,0,1,0,0,1,1,1,1,10.0,0,2016,1,1
2,0,0.0,6,2011,0,0,1,0,0,1,1,1,1,10.0,0,2016,1,1
3,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,0.0,70,2016,0,0
5,0,0.0,1,2014,0,0,1,0,1,1,1,1,1,0.0,70,2016,0,0
6,0,0.0,1,2012,0,0,1,0,1,0,0,0,0,0.0,70,2016,1,0
9,0,0.0,1,2013,0,0,1,0,0,1,1,1,1,0.0,70,2015,0,0
10,0,0.0,1,2014,0,0,1,0,0,0,0,0,0,0.5,10,2015,0,0
11,0,0.0,1,2014,0,0,1,1,1,1,1,1,1,0.0,70,2015,0,0
12,0,0.0,6,2011,0,0,1,0,0,1,1,1,1,6.6,8,2015,1,1
13,0,0.0,1,2014,0,0,1,0,0,0,0,0,0,0.0,70,2015,0,0
14,0,0.0,1,2014,0,0,1,0,0,1,1,1,1,0.7,12,2015,0,0
17,0,0.0,6,2015,0,0,1,0,0,0,0,0,0,0.0,70,2015,0,0
19,0,0.0,6,2014,0,0,1,0,0,1,1,1,1,8.8,4,2015,0,1
20,0,4.0,6,2014,0,0,1,0,0,0,0,0,0,6.6,10,2015,0,1
21,1,4.0,1,2013,0,0,0,0,1,0,0,0,0,0.0,70,2015,0,0
23,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,0.5,70,2015,0,0
24,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,6.0,0,2015,0,1
25,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,0.5,0,2015,0,0
26,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,7.2,0,2015,0,1
27,0,0.0,1,2013,0,0,1,0,1,0,0,0,0,6.0,0,2015,0,1
28,0,0.0,6,2014,0,0,0,0,1,0,0,0,0,6.0,0,2015,0,1
29,0,0.0,6,2014,0,0,0,0,0,0,0,0,0,6.0,0,2015,0,1
30,1,0.0,1,2014,0,0,1,1,0,1,1,1,1,7.3,0,2015,0,1
31,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,6.0,0,2015,0,1
32,0,0.0,6,2014,0,0,1,0,0,0,0,0,0,6.7,0,2015,0,1
33,0,0.0,6,2014,0,0,0,0,1,0,0,0,0,6.7,0,2015,0,1
34,0,0.0,6,2014,0,0,1,1,0,1,1,1,1,7.0,0,2015,0,1
35,0,0.0,2,2012,0,0,1,0,0,0,0,0,0,6.0,0,2015,1,1
36,0,0.0,1,2013,0,0,0,1,1,1,1,1,1,7.5,0,2015,0,1
37,0,0.0,1,2013,0,0,0,1,1,1,1,1,1,7.5,0,2015,0,1
38,0,0.0,1,2011,0,0,0,0,1,0,0,0,0,6.0,0,2015,0,1
39,1,0.0,6,2014,0,0,1,0,0,0,0,0,0,0.0,66,2015,0,0
40,0,0.0,6,2014,0,0,1,0,1,1,1,1,1,6.7,0,2015,0,1
41,0,0.0,6,2014,0,0,1,0,0,1,1,1,1,8.0,0,2015,0,1
42,0,0.0,1,2014,0,0,1,0,0,0,0,0,0,6.7,0,2015,0,1
43,1,4.0,6,2014,0,0,0,0,0,0,0,0,0,0.0,66,2015,0,0
